"Frequency [Hz]","Function 2","DOMAIN InfiniteAcoustic1"
1.8500000000000e+03,4.5089026354522e-03,7.0520108659918e+01
1.8600000000000e+03,2.1332686772471e-02,7.7269855653392e+01
1.8700000000000e+03,1.3771205912041e-02,7.5369119807382e+01
1.8800000000000e+03,3.8665389842929e-03,6.9852624019726e+01
1.8900000000000e+03,2.6479977648762e-02,7.8208576228603e+01
1.9000000000000e+03,1.0619178837257e-02,7.4240309434743e+01
1.9100000000000e+03,1.3722605599577e-03,6.5353765901652e+01
1.9200000000000e+03,8.7012402208264e-03,7.3375211673451e+01
1.9300000000000e+03,1.3454062075352e-03,6.5267934358036e+01
1.9400000000000e+03,1.4123031160997e-02,7.5478679260122e+01
1.9500000000000e+03,6.1283240283478e-03,7.1852817287436e+01
1.9600000000000e+03,7.1326686661595e-03,7.2511920588808e+01
1.9700000000000e+03,9.3564954572344e-04,6.3690532197405e+01
1.9800000000000e+03,1.7777991676386e-03,6.6478227072001e+01
1.9900000000000e+03,4.7666076179991e-03,7.0761494114169e+01
2.0000000000000e+03,7.7300187871398e-02,8.2861205581067e+01
2.0100000000000e+03,7.8897280566830e-03,7.2950020428679e+01
2.0200000000000e+03,1.7341081945630e-02,7.6370161991801e+01
2.0300000000000e+03,1.3909225847483e-02,7.5412429675985e+01
2.0400000000000e+03,1.6135567305787e-02,7.6057242479156e+01
2.0500000000000e+03,3.9637388956709e-02,7.9960450470423e+01
2.0600000000000e+03,4.9351143569462e-03,7.0912372293079e+01
2.0700000000000e+03,2.2967653428467e-03,6.7590566349020e+01
2.0800000000000e+03,3.2381858082269e-03,6.9082417737727e+01
2.0900000000000e+03,7.9162897050947e-03,7.2964616879686e+01
2.1000000000000e+03,2.8064739447800e-02,7.8461010232695e+01
2.1100000000000e+03,9.1609781996849e-03,7.3598818583271e+01
2.1200000000000e+03,8.3082534530281e-03,7.3174497454004e+01
2.1300000000000e+03,9.3074028569249e-03,7.3667685207748e+01
2.1400000000000e+03,2.0902724142689e-02,7.7181428977995e+01
2.1500000000000e+03,4.6313609376165e-02,8.0636486370222e+01
2.1600000000000e+03,6.7939551068686e-02,8.2300626814822e+01
2.1700000000000e+03,2.7312734589523e-03,6.8343051931649e+01
2.1800000000000e+03,5.5813778849469e-03,7.1446814359175e+01
2.1900000000000e+03,5.4886530748691e-03,7.1374057895663e+01
2.2000000000000e+03,8.4491771251323e-03,7.3247544232530e+01
2.2100000000000e+03,3.1073620147008e-02,7.8903318611637e+01
2.2200000000000e+03,7.5300371074413e-03,7.2747371250477e+01
2.2300000000000e+03,8.8292126870196e-03,7.3438619873428e+01
2.2400000000000e+03,1.0512434253734e-02,7.4196433013468e+01
2.2500000000000e+03,2.6410218679221e-03,6.8197120058951e+01
2.2600000000000e+03,3.8023446165201e-03,6.9779914842395e+01
2.2700000000000e+03,6.8955034430219e-03,7.2365059883274e+01
2.2800000000000e+03,1.1999821723109e-02,7.4771148026159e+01
2.2900000000000e+03,7.9294883442001e-03,7.2971851737375e+01
2.3000000000000e+03,6.4880351738289e-03,7.2100532043385e+01
2.3100000000000e+03,2.0717626905561e-02,7.7142800164613e+01
2.3200000000000e+03,7.8006358422507e-03,7.2900700128402e+01
2.3300000000000e+03,4.6306585532994e-03,7.0635827676653e+01
2.3400000000000e+03,1.2564177913223e-02,7.4970740862062e+01
2.3500000000000e+03,2.9426566137128e-02,7.8666795947708e+01
2.3600000000000e+03,4.8164366215394e-03,7.0806658585435e+01
2.3700000000000e+03,5.8553373194635e-03,7.1654919280227e+01
2.3800000000000e+03,3.4827995002021e-03,6.9398684821362e+01
2.3900000000000e+03,2.6240478479957e-03,6.8169117585567e+01
2.4000000000000e+03,4.2486272676155e-03,7.0261886407457e+01
2.4100000000000e+03,2.8576948357033e-02,7.8539558586532e+01
2.4200000000000e+03,3.0017974309495e-03,6.8753213902538e+01
2.4300000000000e+03,1.2275325088601e-03,6.4869730110814e+01
2.4400000000000e+03,8.9395720085078e-03,7.3492567356567e+01
2.4500000000000e+03,1.3298203857908e-02,7.5217329949567e+01
2.4600000000000e+03,4.1135129653884e-02,8.0121528791699e+01
2.4700000000000e+03,7.1703813469431e-03,7.2534822623132e+01
2.4800000000000e+03,2.7499998508976e-03,6.8372726789553e+01
2.4900000000000e+03,2.5580219546991e-03,6.8058442762438e+01
2.5000000000000e+03,5.7319622949924e-03,7.1562433336055e+01
2.5100000000000e+03,2.0794623191321e-02,7.7158910638172e+01
2.5200000000000e+03,7.3001064971107e-03,7.2612692045144e+01
2.5300000000000e+03,6.2223554921655e-03,7.1918948280252e+01
2.5400000000000e+03,3.5997087222491e-03,6.9542073690399e+01
2.5500000000000e+03,1.2072033459625e-02,7.4797204391598e+01
2.5600000000000e+03,2.1922969406567e-03,6.7388393864746e+01
2.5700000000000e+03,3.6018606615757e-02,7.9544669167449e+01
2.5800000000000e+03,1.1870960611984e-02,7.4724258726649e+01
2.5900000000000e+03,8.3435177808586e-03,7.3192892044783e+01
2.6000000000000e+03,6.4915095316791e-03,7.2102857077911e+01
2.6100000000000e+03,3.0045690247029e-03,6.8757221942898e+01
2.6200000000000e+03,5.3395752023723e-03,7.1254467161493e+01
2.6300000000000e+03,2.3523935319582e-02,7.7694499852859e+01
2.6400000000000e+03,8.2532648003821e-03,7.3145657880477e+01
2.6500000000000e+03,1.3321488361449e-02,7.5224927583602e+01
2.6600000000000e+03,4.0908004443224e-03,7.0097483031195e+01
2.6700000000000e+03,3.0827158294527e-03,6.8868735011609e+01
2.6800000000000e+03,7.0245503548753e-03,7.2445585387230e+01
2.6900000000000e+03,6.5046504637146e-03,7.2111639727889e+01
2.7000000000000e+03,5.4788167859229e-03,7.1366267863484e+01
2.7100000000000e+03,1.1876986744387e-02,7.4726462804388e+01
2.7200000000000e+03,9.8827473782462e-02,8.3928177027888e+01
2.7300000000000e+03,9.5438676256514e-03,7.3776644156705e+01
2.7400000000000e+03,2.3260138397284e-03,6.7645523031142e+01
2.7500000000000e+03,4.5853964178441e-03,7.0593168960369e+01
2.7600000000000e+03,8.1821247817227e-04,6.3108061071050e+01
2.7700000000000e+03,1.2684406813710e-03,6.5012101709230e+01
2.7800000000000e+03,3.2602622387300e-03,6.9111925425599e+01
2.7900000000000e+03,1.4486814559354e-03,6.5589129095759e+01
2.8000000000000e+03,2.4551131117349e-02,7.7880115143655e+01
2.8100000000000e+03,5.8575431363436e-03,7.1656555042009e+01
2.8200000000000e+03,9.6154728226529e-03,7.3809106533797e+01
2.8300000000000e+03,1.8464709901932e-02,7.6642824975353e+01
2.8400000000000e+03,7.2679260328050e-03,7.2593505074252e+01
2.8500000000000e+03,4.0070446253590e-03,7.0007641877504e+01
2.8600000000000e+03,4.3785978363423e-03,7.0392750667945e+01
2.8700000000000e+03,1.9948129505455e-02,7.6978421877152e+01
2.8800000000000e+03,1.5148519652401e-03,6.5783102033450e+01
2.8900000000000e+03,1.4578266928029e-03,6.5616459065682e+01
2.9000000000000e+03,8.3942515051528e-03,7.3219219858972e+01
2.9100000000000e+03,5.1287526366329e-03,7.1079517619129e+01
2.9200000000000e+03,2.7068037141346e-03,6.8303967724001e+01
2.9300000000000e+03,6.3228033358959e-02,8.1988496824252e+01
2.9400000000000e+03,1.9749640934488e-02,7.6934992128579e+01
2.9500000000000e+03,1.1439033228208e-02,7.4563293302098e+01
2.9600000000000e+03,6.7272801033432e-03,7.2257795194236e+01
2.9700000000000e+03,2.5933767763718e-02,7.8118056261016e+01
2.9800000000000e+03,9.4983509421547e-03,7.3755882203937e+01
2.9900000000000e+03,2.8675836879893e-03,6.8554561099451e+01
3.0000000000000e+03,6.1572207979558e-03,7.1873247363442e+01
3.0100000000000e+03,7.6916917351414e-02,8.2839618790890e+01
3.0200000000000e+03,3.1020251906256e-02,7.8895853289405e+01
3.0300000000000e+03,1.0456375669789e-02,7.4173211865714e+01
3.0400000000000e+03,1.2664199519444e-02,7.5005177527177e+01
3.0500000000000e+03,4.1302758738966e-03,7.0139190691685e+01
3.0600000000000e+03,1.7865629446740e-03,6.6499583306619e+01
3.0700000000000e+03,3.4477682347552e-03,6.9354780727418e+01
3.0800000000000e+03,3.1227861464349e-03,6.8924822527155e+01
3.0900000000000e+03,4.2232495058541e-03,7.0235867485897e+01
3.1000000000000e+03,6.1049955782675e-03,7.1836253624018e+01
3.1100000000000e+03,1.3433489290131e-02,7.5261288420873e+01
3.1200000000000e+03,1.3198922367694e-02,7.5184784831454e+01
3.1300000000000e+03,1.3368538394154e-02,7.5240239363489e+01
3.1400000000000e+03,3.2957843529047e-03,6.9158987962216e+01
3.1500000000000e+03,3.0897408756379e-03,6.8878620670615e+01
3.1600000000000e+03,1.5981119613430e-02,7.6015472107402e+01
3.1700000000000e+03,5.6130675584492e-03,7.1471402780581e+01
3.1800000000000e+03,6.8399869127375e-03,7.2329952794373e+01
3.1900000000000e+03,4.6869022933335e-03,7.0688259086594e+01
3.2000000000000e+03,3.9343475908199e-03,6.9928127348976e+01
3.2100000000000e+03,2.3308199471127e-02,7.7654487347900e+01
3.2200000000000e+03,1.3876891218060e-03,6.5402321925097e+01
3.2300000000000e+03,9.7069451482551e-03,7.3850225842035e+01
3.2400000000000e+03,2.7765996654966e-02,7.8414532756751e+01
3.2500000000000e+03,1.6587563518422e-02,7.6177226075828e+01
3.2600000000000e+03,6.9570201472434e-03,7.2403632697304e+01
3.2700000000000e+03,6.9933767766261e-03,7.2426269356827e+01
3.2800000000000e+03,3.8756854287478e-03,6.9862885288301e+01
3.2900000000000e+03,2.9108225108707e-03,6.8619557335545e+01
3.3000000000000e+03,2.9246838544001e-03,6.8640189362834e+01
3.3100000000000e+03,2.3416974159755e-03,6.7674707853768e+01
3.3200000000000e+03,2.7276072587530e-03,6.8337218461977e+01
3.3300000000000e+03,4.1191361748584e-03,7.0127461582424e+01
3.3400000000000e+03,2.5926645467098e-03,6.8116863376522e+01
3.3500000000000e+03,9.8866338635228e-03,7.3929884596891e+01
3.3600000000000e+03,9.2207956310982e-03,7.3627084051365e+01
3.3700000000000e+03,5.1147051258640e-03,7.1067606093983e+01
3.3800000000000e+03,7.8992055280549e-03,7.2955234224774e+01
3.3900000000000e+03,3.0752700259938e-03,6.8858232639543e+01
3.4000000000000e+03,1.7474409280092e-03,6.6403425120750e+01
3.4100000000000e+03,1.8009265814949e-03,6.6534360169377e+01
3.4200000000000e+03,5.5643153634496e-03,7.1433517447880e+01
3.4300000000000e+03,3.8977335382943e-02,7.9887521546892e+01
3.4400000000000e+03,8.1782615199825e-03,7.3106010027443e+01
3.4500000000000e+03,1.9710972471350e-03,6.6926480600708e+01
3.4600000000000e+03,2.5737255567733e-03,6.8085022437294e+01
3.4700000000000e+03,7.0476937870965e-03,7.2459870349694e+01
3.4800000000000e+03,5.5700892168510e-03,7.1438021600533e+01
3.4900000000000e+03,6.2774316055291e-03,7.1957219983162e+01
3.5000000000000e+03,1.9433055242875e-03,6.6864810939250e+01
3.5100000000000e+03,7.5151610917810e-03,7.2738783030456e+01
3.5200000000000e+03,6.6478668346204e-03,7.2206223200545e+01
3.5300000000000e+03,1.2029549212494e-02,7.4781893618478e+01
3.5400000000000e+03,1.4338744098687e-02,7.5544511227028e+01
3.5500000000000e+03,6.6340492825663e-03,7.2197187021243e+01
3.5600000000000e+03,6.0868655199001e-03,7.1823337154504e+01
3.5700000000000e+03,5.3817883343051e-03,7.1288666216369e+01
3.5800000000000e+03,9.2827325821842e-03,7.3656158481101e+01
3.5900000000000e+03,5.7057282725586e-03,7.1542510938097e+01
3.6000000000000e+03,6.4792306546125e-02,8.2094634493740e+01
3.6100000000000e+03,9.3175256169285e-03,7.3672406041173e+01
3.6200000000000e+03,5.2386648860885e-03,7.1171606264791e+01
3.6300000000000e+03,3.8533040817476e-02,7.9837732911899e+01
3.6400000000000e+03,4.1236919081741e-03,7.0132262192170e+01
3.6500000000000e+03,1.8310556126829e-03,6.6606415435333e+01
3.6600000000000e+03,4.1179592359323e-03,7.0126220518532e+01
3.6700000000000e+03,2.8648211151331e-02,7.8550375176505e+01
3.6800000000000e+03,3.2286787473299e-03,6.9069648436543e+01
3.6900000000000e+03,2.9234165367176e-03,6.8638307079535e+01
3.7000000000000e+03,6.8427024642374e-03,7.2331676649990e+01
3.7100000000000e+03,3.8276013690785e-03,6.9808667099231e+01
3.7200000000000e+03,3.0381400000941e-03,6.8805477913217e+01
3.7300000000000e+03,5.4827984876220e-03,7.1369422929794e+01
3.7400000000000e+03,4.7893297730330e-03,7.0782147504291e+01
3.7500000000000e+03,3.0561155889802e-03,6.8831097848541e+01
3.7600000000000e+03,2.5260819410586e-02,7.8003874427664e+01
3.7700000000000e+03,7.1253093749249e-03,7.2507437344622e+01
3.7800000000000e+03,2.5125187691727e-03,6.7980493234061e+01
3.7900000000000e+03,2.1804711886813e-02,7.7364903612365e+01
3.8000000000000e+03,2.1713154731962e-02,7.7346629359103e+01
3.8100000000000e+03,1.4454175427058e-02,7.5579333300199e+01
3.8200000000000e+03,1.0384537685823e-02,7.4143271754107e+01
3.8300000000000e+03,3.0279500849586e-02,7.8790887203172e+01
3.8400000000000e+03,6.1114420493562e-03,7.1840837066699e+01
3.8500000000000e+03,2.5649133212552e-03,6.8070127018093e+01
3.8600000000000e+03,1.6108587039906e-03,6.6049974567459e+01
3.8700000000000e+03,2.6551470669637e-03,6.8220285900601e+01
3.8800000000000e+03,3.9655880294535e-03,6.9962476036073e+01
3.8900000000000e+03,8.3902875090155e-03,7.3217168516747e+01
3.9000000000000e+03,1.7591330804329e-03,6.6432387042474e+01
3.9100000000000e+03,7.1444251261753e-03,7.2519072978418e+01
3.9200000000000e+03,3.9810499432606e-03,6.9979376346225e+01
3.9300000000000e+03,3.2104854695314e-03,6.9045107173377e+01
3.9400000000000e+03,9.8643530910168e-03,7.3920086179547e+01
3.9500000000000e+03,6.3980643467899e-03,7.2039886122406e+01
3.9600000000000e+03,8.3150376413245e-03,7.3178042282387e+01
3.9700000000000e+03,2.1510481690136e-03,6.7305901444442e+01
3.9800000000000e+03,3.5799975865745e-03,6.9518227425400e+01
3.9900000000000e+03,1.1343681318144e-02,7.4526940259014e+01
4.0000000000000e+03,1.6483872960526e-03,6.6149992674756e+01
4.0100000000000e+03,5.0503574611196e-03,7.1012621269684e+01
4.0200000000000e+03,1.3088546456720e-03,6.5148314275011e+01
4.0300000000000e+03,3.1351012616520e-02,7.8941915814836e+01
4.0400000000000e+03,4.0699812392355e-03,7.0075324160016e+01
4.0500000000000e+03,8.7322828166466e-03,7.3390678016413e+01
4.0600000000000e+03,9.2649750524129e-03,7.3647842629137e+01
4.0700000000000e+03,1.0347292413705e-02,7.4127667310619e+01
4.0800000000000e+03,7.5158087986046e-03,7.2739157318345e+01
4.0900000000000e+03,1.3252781559869e-02,7.5202470484031e+01
4.1000000000000e+03,1.1878159290870e-02,7.4726891537149e+01
4.1100000000000e+03,1.4082482859639e-02,7.5466192399823e+01
4.1200000000000e+03,4.0868599504710e-02,8.0093297641278e+01
4.1300000000000e+03,4.4427162843375e-03,7.0455885883813e+01
4.1400000000000e+03,9.9981117801300e-03,7.3978579965819e+01
4.1500000000000e+03,1.2399297113370e-02,7.4913370754119e+01
4.1600000000000e+03,5.8200905116119e-03,7.1628697473405e+01
4.1700000000000e+03,8.6139164706348e-03,7.3331406647545e+01
4.1800000000000e+03,9.9535076273107e-02,8.3959161622560e+01
4.1900000000000e+03,4.6058700837270e-03,7.0612516924704e+01
4.2000000000000e+03,1.3954668101637e-02,7.5426595203429e+01
4.2100000000000e+03,2.1296788354595e-02,7.7262541236111e+01
